Unnamed: 0,ds,y,yhat,y_res,y_res_smooth,y_res_stat,day,unit,level_1,smooth_first,smooth_last,smooth_mean,y_first,y_mean,y_last,y_first2,y_mean2,y_last2
288,2022-09-28 00:04:00,413482.47083333327,398028.5368641469,15453.933969186386,9848.013565475329,5605.920403711058,20220928,0,0,10626.613,10626.613,10626.613,414261.0705491079,414261.0705491079,414261.0705491079,408655.1501453969,408655.1501453969,408655.1501453969
289,2022-09-28 00:09:00,401922.14,389308.1971194067,12613.942880593298,11124.36615827518,1489.5767223181174,20220928,1,0,13142.005,11938.972,12540.488,403939.77872453735,403338.26212297485,402736.74552141235,402450.2020022192,401848.6854006567,401247.1687990942
290,2022-09-28 00:14:00,390444.4933333333,380614.7968542035,9829.69647912978,9820.763108766208,8.933370363571157,20220928,2,0,13430.485,9807.608,11772.5,394054.21557612956,392396.23022456706,390431.33862300456,394045.282205766,392387.2968542035,390422.405252641
291,2022-09-28 00:19:00,375545.9499999999,371957.3843925824,3588.5656074174917,6822.230975784506,-3233.6653683670147,20220928,3,0,17762.4,7056.797,10481.458,386486.1194148404,379205.1770320279,375780.5158992154,389719.7847832074,382438.8424003949,379014.1812675824
292,2022-09-28 00:24:00,366944.31333333335,363344.8880319648,3599.425301368523,3679.15446288244,-79.729161513917,20220928,4,0,12096.581,5386.3755,7424.2295,375361.73992513836,370689.38836263836,368651.5343587321,375441.4690866523,370769.1175241523,368731.263520246
293,2022-09-28 00:29:00,356563.6999999999,354786.13131479674,1777.5686852031504,1004.4226281781408,773.1460570250097,20220928,5,0,9273.373,4066.1775,5950.42,364832.65041869675,361509.69729369675,359625.4548620561,364059.50436167174,360736.55123667174,358852.3088050311
294,2022-09-28 00:34:00,347393.98,346289.8483261304,1104.1316738695605,-1501.7544990580532,2605.8861729276136,20220928,6,0,8300.383,2301.5813,4745.824,357196.11731155805,353641.55871780805,351197.3157978862,354590.2311386304,351035.6725448804,348591.42962495855
295,2022-09-28 00:39:00,330055.6433333333,337864.6988032729,-7809.055469939602,-4099.879106183861,-3709.176363755741,20220928,7,0,6175.838,-500.73865,3347.5042,340331.3603301422,337503.0265899078,333654.78379205626,344040.5366938979,341212.20295366354,337363.960155812
296,2022-09-28 00:44:00,324816.2599999999,329519.28274507425,-4703.022745074355,-6561.634759166239,1858.612014091884,20220928,8,0,6230.8223,-4920.937,1763.5386,337608.7170247911,333141.43333338486,326456.95774744736,335750.10501069925,331282.821319293,324598.3457333555
297,2022-09-28 00:49:00,314569.0966666667,321262.1542113327,-6693.057544665993,-8356.670896277503,1663.6133516115096,20220928,9,0,4580.9473,-7444.2246,238.84952,327506.7148285692,323164.6170807665,315481.5429535692,325843.1014769577,321501.00372915494,313817.9296019577
