Unnamed: 0,ds,y,yhat,y_res,y_res_smooth,y_res_stat,day,unit,level_1,smooth_first,smooth_last,smooth_mean,y_first,y_mean,y_last,y_first2,y_mean2,y_last2
288,2022-09-27 00:04:00,399038.6166666666,338619.1748439303,60419.44182273629,40898.56700297768,19520.874819758617,20220927,0,0,30781.615,30781.615,30781.615,388921.66489806393,388921.66489806393,388921.66489806393,369400.7900783053,369400.7900783053,369400.7900783053
289,2022-09-27 00:09:00,388262.6766666668,329714.1061221195,58548.570544547285,54371.13967952882,4177.430865018461,20220927,1,0,32293.088,39186.82,35739.953,366184.624877763,369631.490112138,373078.357299638,362007.1940127445,365454.0592471195,368900.9264346195
290,2022-09-27 00:14:00,375884.93333333335,320839.4406512246,55045.49268210877,57549.91695574025,-2504.4242736314773,20220927,2,0,30266.947,38717.285,34839.582,348601.9636432181,353174.5984088431,357052.3015338431,351106.3879168496,355679.0226824746,359556.7258074746
291,2022-09-27 00:19:00,360929.2433333335,312004.5727997553,48924.6705335782,52583.17091065656,-3658.500377078359,20220927,3,0,25300.309,37982.855,30132.02,333646.38101642695,338478.09195392695,346328.92789142695,337304.8813935053,342136.5923310053,349987.4282685053
292,2022-09-27 00:24:00,346757.55333333334,303218.75774830073,43538.79558503261,45301.13391916877,-1762.3383341361623,20220927,4,0,18966.422,30947.32,24427.645,320422.84128916456,325884.06394541456,332403.73972666456,322185.17962330073,327646.40227955073,334166.07806080073
293,2022-09-27 00:29:00,334565.37333333323,294491.1247026002,40074.248630733055,39936.50520379006,137.74342694299412,20220927,5,0,16082.961,32250.059,22269.18,310711.82906704315,316898.04781704315,326878.92672329315,310574.0856401002,316760.3043901002,326741.1832963502
294,2022-09-27 00:34:00,324394.5233333333,285830.6903490252,38563.83298430813,37192.6747129192,1371.1582713889293,20220927,6,0,15041.179,32766.133,22088.473,302243.0273313516,309290.3212766641,319967.9814329141,300871.8690599627,307919.1630052752,318596.8231615252
295,2022-09-27 00:39:00,313343.0166666667,277246.37219411903,36096.64447254769,35654.08502255571,442.55944999198255,20220927,7,0,12193.745,33715.82,21071.268,289882.6767612985,298760.199222236,311404.751956611,289440.11731130653,298317.63977224403,310962.19250661903
296,2022-09-27 00:44:00,304101.97333333327,268747.00157100306,35354.97176233021,34071.76722702205,1283.204535308163,20220927,8,0,9327.21,30259.666,18866.426,279357.41606724873,288896.63188756123,300289.87212193623,278074.21153194056,287613.42735225306,299006.66758662806
297,2022-09-27 00:49:00,292918.03666666674,260341.3360328143,32576.70063385245,32551.86801368874,24.83262016371009,20220927,9,0,7780.0366,29468.082,17598.076,268146.2052740718,277964.244824853,289834.250684228,268121.37265390804,277939.4122046893,289809.4180640643
298,2022-09-27 00:54:00,281695.13333333336,252038.07084915444,29657.062484178925,32059.84463018873,-2402.7821460098057,20220927,10,0,9584.71,27698.934,17675.69,259219.99866408214,267310.97815626964,277334.22229689464,261622.78081009194,269713.76030227944,279737.00444290444
299,2022-09-27 00:59:00,275219.8833333333,243845.84940642308,31374.033926910222,32998.80038959349,-1624.766462683263,20220927,11,0,12354.575,28311.373,18563.3,254575.6581390523,260784.38372498978,270532.4559906148,256200.42460173558,262409.15018767305,272157.22245329805
300,2022-09-27 01:04:00,273605.5033333333,235773.2722387497,37832.23109458358,34479.15420032042,3353.076894263155,20220927,12,0,17184.074,29957.092,20314.88,256310.42335176285,259441.22999238785,269083.4409298878,252957.3464574997,256088.1530981247,265730.36403562466
301,2022-09-27 01:09:00,263341.0033333334,227828.9045054881,35512.09882784527,35198.71831906965,313.3805087756191,20220927,13,0,12803.893,31474.484,21836.102,240946.17759238873,249978.38657676373,259616.76938926373,240632.7970836131,249665.0060679881,259303.3888804881
302,2022-09-27 01:14:00,255635.5266666668,220021.2816785672,35614.244988099614,34847.274405167744,766.97058293187,20220927,14,0,13559.993,30450.639,22597.951,234348.24542556156,243386.20343337406,251238.89093337406,233581.2748426297,242619.2328504422,250471.9203504422
303,2022-09-27 01:19:00,242604.56666666665,212358.91330917663,30245.653357489995,34267.48743641437,-4021.834078924374,20220927,15,0,10215.824,28462.635,22841.186,218552.90344900225,231178.26477712725,236799.71399587725,222574.73752792663,235200.09885605163,240821.54807480163
304,2022-09-27 01:24:00,241291.99666666667,204850.28470083495,36441.711965831695,34361.518498825666,2080.193467006029,20220927,16,0,16335.344,28167.299,22658.93,223265.82191784098,229589.40785534098,235097.77699596598,221185.62845083495,227509.21438833495,233017.58352895995
305,2022-09-27 01:29:00,233732.95000000013,197503.856333746,36229.093666254106,35308.44834940781,920.6453168462976,20220927,17,0,16967.887,31477.803,22118.21,215392.38836934228,220542.71258809228,229902.30438496728,214471.743052496,219622.067271246,228981.659068121
306,2022-09-27 01:34:00,226294.1133333333,190328.06101232857,35966.05232100474,36811.9947342902,-845.942413285462,20220927,18,0,16580.326,33051.75,22005.062,206062.4447709181,211487.1810990431,222533.8685990431,206908.38718420357,212333.12351232857,223379.81101232857
307,2022-09-27 01:39:00,221079.88333333336,183331.2985630356,37748.58477029778,38566.46268766466,-817.8779173668809,20220927,19,0,15215.702,35067.28,23279.814,197729.12279410622,205793.23509879372,217580.70189566872,198547.0007114731,206611.1130161606,218398.5798130356
308,2022-09-27 01:44:00,218196.32666666672,176521.928051599,41674.39861506771,40353.19196409913,1321.2066509685756,20220927,20,0,16000.209,36744.82,25830.766,193843.3436869426,203673.9003275676,214587.9550150676,192522.137035974,202352.693676599,213266.748364099
309,2022-09-27 01:49:00,212423.28999999995,169908.25760512354,42515.03239487641,42083.648421642574,431.38397323383833,20220927,21,0,13991.809,38210.953,29014.01,184331.45017210738,199353.65134398238,208550.59470335738,183900.06619887354,198922.26737074854,208119.21073012354
310,2022-09-27 01:54:00,206372.08666666647,163498.531660184,42873.55500648252,43842.71486543176,-969.1598589492424,20220927,22,0,20219.115,39210.547,32557.078,182748.48703560975,195086.44992623475,201739.91867623475,183717.646894559,196055.609785184,202709.078535184
311,2022-09-27 01:59:00,200904.53666666665,157300.9157855095,43603.62088115714,45611.65902473376,-2008.0381435766176,20220927,23,0,26187.29,40968.355,35666.113,181480.1667044329,190958.9909231829,196261.2331106829,183488.2048480095,192967.0290667595,198269.2712542595
312,2022-09-27 02:04:00,201770.06,151323.47914090127,50446.58085909873,47007.931457098704,3438.649402000025,20220927,24,0,30808.992,42303.195,38423.434,185571.1207304013,193185.5621366513,197065.3238554013,182132.47132840127,189746.91273465127,193626.67445340127
313,2022-09-27 02:09:00,192225.91,145574.17458312795,46651.73541687205,47627.46265902504,-975.7272421529852,20220927,25,0,35116.992,44717.445,40164.03,179715.43952847496,184762.47859097496,189315.89265347496,180691.16677062795,185738.20583312795,190291.61989562795
314,2022-09-27 02:14:00,187301.0733333333,140060.81659187228,47240.256741461024,47587.34387368158,-347.08713222055667,20220927,26,0,37178.82,43993.266,40397.89,176892.54977215172,180111.62008465172,183706.99508465172,177239.63690437228,180458.70721687228,184054.08221687228
315,2022-09-27 02:19:00,181878.95666666664,134791.0571307805,47087.89953588613,47469.66940180168,-381.7698659155503,20220927,27,0,34250.605,44044.18,40165.23,168659.89273361495,174574.51773361495,178453.46695236495,169041.6625995305,174956.2875995305,178835.2368182805
316,2022-09-27 02:24:00,178191.91999999995,129772.35958468326,48419.56041531669,47815.18418986684,604.3762254498579,20220927,28,0,37097.504,44513.137,40957.23,167474.2397163831,171333.9662788831,174889.8725288831,166869.86349093326,170729.59005343326,174285.49630343326
317,2022-09-27 02:29:00,173621.00333333336,125011.97101215656,48609.03232117678,48811.623062191575,-202.590741014792,20220927,29,0,40685.91,45170.664,42075.293,165495.29042739177,166884.67323989177,169980.04433364177,165697.88116840657,167087.26398090657,170182.63507465657
318,2022-09-27 02:34:00,170027.5733333333,120516.89283940736,49510.68049392593,50285.07644823752,-774.3959543115925,20220927,30,0,42217.41,45879.473,42998.746,161959.90704134578,162741.24297884578,165621.96954134578,162734.30299565737,163515.63893315737,166396.36549565737
319,2022-09-27 02:39:00,168850.65666666662,116293.85030314216,52556.80636352446,51826.62765233919,730.1787111852682,20220927,31,0,43168.637,45777.367,43772.703,160192.66573307742,160796.73213932742,162801.39620182742,159462.48702189216,160066.55342814216,162071.21749064216
320,2022-09-27 02:44:00,165940.31999999998,112349.26081031952,53591.05918968047,53080.01611372106,511.0430759594092,20220927,32,0,42893.38,46144.715,44674.75,155753.6827925289,157535.0538862789,159005.0187300289,155242.6397165695,157024.0108103195,158493.9756540695
321,2022-09-27 02:49:00,162966.1633333334,108689.2015239941,54276.96180933929,54068.36576068044,208.59604865885197,20220927,33,0,43873.11,48616.85,45920.145,152770.90694765295,154817.94210390295,157514.64913515295,152562.3108989941,154609.3460552441,157306.0530864941
322,2022-09-27 02:54:00,159594.70666666655,105319.3764363993,54275.33023026725,55134.44774995361,-859.1175196863551,20220927,34,0,45146.12,49828.137,46991.957,149606.38001046295,151452.21594796295,154288.39563546295,150465.4975301493,152311.3334676493,155147.5131551493
323,2022-09-27 02:59:00,156680.3433333334,102245.08317768712,54435.26015564628,56425.05365679678,-1989.7935011505035,20220927,35,0,48950.703,51381.72,48077.613,149205.99280153663,148332.90295778663,151637.00842653663,151195.78630268713,150322.69645893713,153626.80192768713
324,2022-09-27 03:04:00,160799.57333333336,99471.17992753768,61328.39340579568,57584.14772799406,3744.24567780162,20220927,36,0,50084.098,52815.523,48998.33,153299.5232615893,152213.7537303393,156030.9490428393,149555.27758378768,148469.50805253768,152286.70336503768
325,2022-09-27 03:09:00,153751.35333333333,97002.05264751932,56749.300685814,58151.21603472697,-1401.9153489129676,20220927,37,0,50968.113,53250.266,49574.625,146568.25057985637,145174.76229860637,148850.40292360637,147970.16592876933,146576.67764751933,150252.31827251933
326,2022-09-27 03:14:00,152600.95000000004,94841.58296884818,57759.367031151865,58089.15673971849,-329.7897085666264,20220927,38,0,51534.0,54405.6,49495.793,146045.79326028156,144007.58622903156,148917.39482278156,146375.58296884818,144337.37593759818,149247.18453134818
327,2022-09-27 03:19:00,150413.1266666667,92993.1170867316,57420.00957993511,57689.39064515477,-269.3810652196553,20220927,39,0,47385.16,53856.977,48253.465,140108.89617776196,140977.20086526196,146580.71258401196,140378.2772429816,141246.5819304816,146850.0936492316
328,2022-09-27 03:24:00,148945.37333333335,91459.43586432008,57485.93746901327,57139.5358417312,346.4016272820664,20220927,40,0,45442.676,53346.48,47099.723,137248.51327285214,138905.56014785214,145152.31796035214,136902.11164557008,138559.15852057008,144805.91633307008
329,2022-09-27 03:29:00,147063.13333333336,90242.72653667117,56820.4067966622,56413.46026596802,406.9465306941711,20220927,41,0,44152.09,52537.99,46589.83,134801.76291111534,137239.50119236534,143187.66134861534,134394.81638042117,136832.55466167117,142780.71481792117
330,2022-09-27 03:34:00,144176.03666666668,89344.55624858104,54831.480418085644,55457.252088087815,-625.7716700021701,20220927,42,0,44985.105,50887.3,45987.156,133703.89004732887,134705.94082857887,139606.08535982887,134329.66171733104,135331.71249858104,140231.85702983104
331,2022-09-27 03:39:00,143258.2033333333,88765.84774933947,54492.35558399384,54299.29023868016,193.0653453136765,20220927,43,0,45148.355,50867.293,45381.207,134107.26856340314,134340.12012590314,139826.20606340314,133914.20321808947,134147.05478058947,139633.14071808947
332,2022-09-27 03:44:00,141840.5333333333,88506.85747477598,53333.67585855731,53032.081978894224,301.59387966308714,20220927,44,0,43035.555,49761.312,44372.797,131844.00604193908,133181.24822943908,138569.76385443908,131542.41216227598,132879.65434977598,138268.16997477598
333,2022-09-27 03:49:00,140305.13666666666,88567.15630114556,51737.9803655211,51792.28444711547,-54.304081594367744,20220927,45,0,41875.836,49679.516,43511.45,130388.68815705119,132024.3014383012,138192.3678445512,130442.99223864556,132078.60551989556,138246.67192614556
