Unnamed: 0,ds,y,yhat,y_res,y_res_smooth,y_res_stat,day,unit,level_1,y_first,y_last,y_mean
288,2022-09-25 00:04:00,335113.75416666665,348274.54437286314,-13160.790206196483,-21369.098310514582,8208.308104318097,20220925,0,0,331146.25,331146.25,331146.25
289,2022-09-25 00:09:00,323608.36999999994,339175.640699244,-15567.27069924405,-18085.16600666332,2517.8953074192686,20220925,1,0,326584.53,329681.3,328132.94
290,2022-09-25 00:14:00,309322.5333333335,330104.67257559387,-20782.139242260368,-18943.93670378721,-1838.2025384731533,20220925,2,0,318699.0,317724.06,319335.2
291,2022-09-25 00:19:00,296986.4166666666,321071.18393697584,-24084.76727030921,-22331.20324667057,-1753.564023638639,20220925,3,0,308194.28,302507.62,307450.94
292,2022-09-25 00:24:00,285399.89,312084.5815677212,-26684.691567721195,-25558.54186309664,-1126.1497046245568,20220925,4,0,297097.44,291268.0,296021.84
293,2022-09-25 00:29:00,276200.5333333334,303154.1473688115,-26953.61403547809,-27265.29760201328,311.6835665351828,20220925,5,0,286236.75,279647.25,284113.8
294,2022-09-25 00:34:00,267697.81,294289.0508822,-26591.24088220001,-27854.36000701804,1263.119124818022,20220925,6,0,279908.97,275049.4,278086.7
295,2022-09-25 00:39:00,257842.85000000003,285498.3617915228,-27655.51179152279,-28281.347285026503,625.8354935037132,20220925,7,0,271891.8,263240.12,268135.94
296,2022-09-25 00:44:00,247552.60333333336,276791.0620834614,-29238.45875012802,-28816.44319183044,-422.01555829757854,20220925,8,0,264305.0,254204.53,259221.47
297,2022-09-25 00:49:00,239260.75666666665,268176.05770046543,-28915.30103379878,-28851.37028994936,-63.93074384942156,20220925,9,0,254536.61,244398.48,249627.47
298,2022-09-25 00:54:00,231549.5333333333,259662.1893300828,-28112.655996749498,-27632.799276062957,-479.8567206865446,20220925,10,0,244471.8,234112.95,239031.27
299,2022-09-25 00:59:00,224356.34999999992,251258.24209963385,-26901.8920996339,-25114.73462686644,-1787.1574727674597,20220925,11,0,234786.7,224777.19,228594.02
300,2022-09-25 01:04:00,223471.97333333324,242972.95409128917,-19500.9807579559,-22149.300540097283,2648.319782141385,20220925,12,0,235353.14,223712.97,224973.98
301,2022-09-25 01:09:00,214739.6233333333,234815.0232363816,-20075.399903048263,-19801.462650411657,-273.9372526366096,20220925,13,0,220214.36,214376.17,213338.88
302,2022-09-25 01:14:00,208510.2233333333,226793.11257653628,-18282.889243202982,-18460.49718492701,177.60794172402893,20220925,14,0,205753.17,208470.27,204971.0
303,2022-09-25 01:19:00,199934.91333333327,218915.8536151787,-18980.940281845425,-17649.270548805438,-1331.6697330399877,20220925,15,0,196822.28,205045.52,199463.83
304,2022-09-25 01:24:00,195844.03333333324,211191.84769765692,-15347.814364323713,-16533.636426076628,1185.822061752915,20220925,16,0,189252.0,196776.97,192958.7
305,2022-09-25 01:29:00,188893.01,203629.6651854797,-14736.6551854797,-14446.48385488048,-290.1713305992198,20220925,17,0,183087.0,188684.17,184605.36
306,2022-09-25 01:34:00,184731.4733333333,196237.8423978625,-11506.369064529194,-11142.059914719748,-364.30914980944544,20220925,18,0,178845.5,186474.45,181354.11
307,2022-09-25 01:39:00,180801.2566666668,189024.87621903396,-8223.619552367134,-6928.036784507551,-1295.582767859583,20220925,19,0,175014.94,180951.33,177131.75
308,2022-09-25 01:44:00,181777.42333333325,181999.2162638708,-221.79293053751465,-2547.9305649830094,2326.1376344454948,20220925,20,0,172393.8,180184.42,176205.17
309,2022-09-25 01:49:00,176591.91000000003,175169.25472615348,1422.6552738465543,1353.6426163326223,69.01265751393203,20220925,21,0,168564.1,178638.62,173988.23
310,2022-09-25 01:54:00,172259.07333333336,168543.3136854216,3715.759647911764,4676.299304667437,-960.5396567556736,20220925,22,0,163994.8,173188.08,169046.19
311,2022-09-25 01:59:00,168108.97333333333,162129.63011419264,5979.34321914069,7634.026853478608,-1654.6836343379182,20220925,23,0,160884.33,168883.38,164674.36
312,2022-09-25 02:04:00,169018.0333333333,155936.33849002296,13081.69484331034,10280.91046239328,2800.784380917059,20220925,24,0,162605.95,170702.73,166069.92
313,2022-09-25 02:09:00,161873.59666666668,149971.45117463046,11902.145492036216,12562.422645390652,-660.2771533544365,20220925,25,0,157554.17,163158.33,159671.17
314,2022-09-25 02:14:00,158230.4533333333,144242.83661149925,13987.616721834056,14639.426050602711,-651.8093287686552,20220925,26,0,154998.02,159528.06,156040.08
315,2022-09-25 02:19:00,155278.11000000002,138758.19554671622,16519.914453283796,16789.332713942156,-269.41826065835994,20220925,27,0,152335.06,157759.39,154896.42
316,2022-09-25 02:24:00,153125.3766666667,133525.03534199862,19600.341324668087,19045.07063194796,555.2706927201252,20220925,28,0,150546.55,155070.56,153379.62
317,2022-09-25 02:29:00,149419.89666666664,128550.6425899506,20869.254076716024,21159.61830524609,-290.36422853007025,20220925,29,0,147979.9,150959.47,149976.48
318,2022-09-25 02:34:00,147358.91666666663,123842.0542981101,23516.862368556525,22908.73872730789,608.123641248636,20220925,30,0,145501.98,150351.11,149453.3
319,2022-09-25 02:39:00,143480.75000000003,119406.02773643476,24074.722263565254,24337.27898365229,-262.5567200870282,20220925,31,0,142552.36,145556.67,145833.1
320,2022-09-25 02:44:00,140606.82666666666,115249.0092879083,25357.81737875837,25730.38066822503,-372.56328946666326,20220925,32,0,142672.98,142756.8,144088.4
321,2022-09-25 02:49:00,139292.0866666666,111377.10249009234,27914.984176574275,27391.391121648,523.5930549262739,20220925,33,0,140392.61,138576.11,140898.47
322,2022-09-25 02:54:00,136957.0466666667,107796.0356034162,29161.01106325048,29420.6150187044,-259.60395545391657,20220925,34,0,139486.55,136988.5,138014.33
323,2022-09-25 02:59:00,134962.96000000008,104511.1288937782,30451.831106221885,31600.88140698188,-1149.050300759991,20220925,35,0,138129.11,135275.86,135510.19
324,2022-09-25 03:04:00,136754.9433333333,101527.26199345452,35227.68133987879,33472.63364800621,1755.0476918725835,20220925,36,0,140952.23,139991.56,138876.38
325,2022-09-25 03:09:00,133293.08333333334,98848.84159876304,34444.2417345703,34659.2641939918,-215.022459421496,20220925,37,0,136076.0,135410.55,133872.19
326,2022-09-25 03:14:00,131264.32666666666,96479.76978641146,34784.5568802552,35172.38714034967,-387.8302600944662,20220925,38,0,131545.22,132911.81,130553.06
327,2022-09-25 03:19:00,129357.29333333338,94423.41331915424,34933.88001417914,35313.43310772049,-379.55309354134806,20220925,39,0,128701.72,132006.66,129044.336
328,2022-09-25 03:24:00,128159.77666666664,92682.5741183012,35477.20254836543,35318.37695510997,158.82559325546026,20220925,40,0,127510.375,129914.28,128217.31
329,2022-09-25 03:29:00,127183.49333333336,91259.46132630324,35924.03200703011,35210.907130421074,713.1248766090357,20220925,41,0,124442.75,126160.53,125079.69
330,2022-09-25 03:34:00,124270.94333333331,90155.66514987352,34115.278183459784,34918.00988698393,-802.7317035241431,20220925,42,0,124045.47,127807.84,125637.25
331,2022-09-25 03:39:00,123706.71999999994,89372.13281314838,34334.58718685157,34355.910113287326,-21.32292643575784,20220925,43,0,121762.78,124014.0,123261.96
332,2022-09-25 03:44:00,122836.3766666667,88909.14686387934,33927.22980278736,33430.54919585373,496.6806069336308,20220925,44,0,121021.06,124215.44,123573.6
333,2022-09-25 03:49:00,120934.69000000002,88766.30611492478,32168.38388507524,32114.74748624231,53.6363988329249,20220925,45,0,121341.5,123525.28,123013.63
334,2022-09-25 03:54:00,119572.67,88942.50940955715,30630.160590442843,30531.25284148556,98.90774895728464,20220925,46,0,119949.69,120684.16,121163.23
335,2022-09-25 03:59:00,116828.02666666669,89435.94247927022,27392.084187396467,28833.297226190934,-1441.2130387944708,20220925,47,0,119921.75,119257.375,120027.99
336,2022-09-25 04:04:00,118740.25,90244.06806339102,28496.181936608977,27014.39814379317,1481.7837928158078,20220925,48,0,124361.53,122524.41,124009.46
337,2022-09-25 04:09:00,116413.64,91363.61946983016,25050.020530169844,24974.08970957008,75.93082059976223,20220925,49,0,119973.94,116200.125,118884.53
338,2022-09-25 04:14:00,114892.27999999994,92790.59773952595,22101.682260473983,22749.87584631024,-648.1935858362558,20220925,50,0,118000.97,114648.84,116295.73
339,2022-09-25 04:19:00,115149.95999999996,94520.27252024302,20629.687479756947,20526.303943029376,103.38353672757148,20220925,51,0,117129.97,114472.81,116020.0
340,2022-09-25 04:24:00,115101.12666666666,96547.18677145054,18553.93989521613,18413.10383542624,140.83605978989,20220925,52,0,116820.375,114820.53,116261.805
341,2022-09-25 04:29:00,114668.45333333332,98865.16535359222,15803.2879797411,16315.622520437431,-512.3345406963308,20220925,53,0,116779.53,113564.16,114739.49
342,2022-09-25 04:34:00,116168.53999999996,101467.32755032438,14701.212449675586,14027.696451754617,673.5159979209711,20220925,54,0,117178.47,117753.31,117311.29
343,2022-09-25 04:39:00,115711.30333333334,104346.10352814902,11365.199805184326,11441.793166141102,-76.59336095677645,20220925,55,0,116570.0,116628.75,116002.625
344,2022-09-25 04:44:00,116031.94666666666,107493.25474357228,8538.69192309439,8710.665350753381,-171.97342765899157,20220925,56,0,117333.75,118280.125,116828.125
345,2022-09-25 04:49:00,117785.99666666667,110899.89817790102,6886.098488765652,6215.541281945782,670.5572068198699,20220925,57,0,117902.25,119933.625,118383.49
346,2022-09-25 04:54:00,118325.48666666666,114556.53441923292,3768.952247433743,4291.389095818058,-522.4368483843155,20220925,58,0,117756.28,119180.28,118454.13
347,2022-09-25 04:59:00,118601.24666666664,118453.0793901128,148.16727655383875,2834.4843007213744,-2686.317024167536,20220925,59,0,116384.0,117354.5,117576.46
348,2022-09-25 05:04:00,127873.38333333332,122578.89964131638,5294.483692016933,1237.8407480267767,4056.642943990156,20220925,60,0,123934.625,127610.75,126093.44
349,2022-09-25 05:09:00,125387.23666666666,126922.85101314363,-1535.6143464769702,-1007.359687866281,-528.2546586106893,20220925,61,0,122489.44,125762.53,124575.49
350,2022-09-25 05:14:00,126643.10333333332,131473.3204763439,-4830.217143010596,-3666.057164092328,-1164.1599789182678,20220925,62,0,123103.41,126636.31,125041.1
351,2022-09-25 05:19:00,130100.43666666672,136218.2709411807,-6117.834274513982,-5977.4896750554335,-140.34459945854817,20220925,63,0,125608.97,129470.375,127679.82
352,2022-09-25 05:24:00,134155.2666666666,141145.28874200612,-6990.022075339512,-7458.872377262803,468.8503019232912,20220925,64,0,128732.78,132618.9,131370.69
353,2022-09-25 05:29:00,136357.84000000003,146241.6336183976,-9883.793618397583,-8323.682194837986,-1560.1114235595978,20220925,65,0,131451.19,134359.75,133486.3
354,2022-09-25 05:34:00,144734.21333333332,151494.29075789583,-6760.077424562507,-9185.70297531656,2425.6255507540536,20220925,66,0,141687.83,145646.05,143716.78
355,2022-09-25 05:39:00,145472.78333333338,156890.02473747457,-11417.241404141185,-10388.321941860975,-1028.919462280206,20220925,67,0,145325.62,146189.75,145956.38
356,2022-09-25 05:44:00,151672.50000000006,162415.43492720375,-10742.934927203692,-11511.751383471135,768.8164562674428,20220925,68,0,152147.42,151602.22,151545.72
357,2022-09-25 05:49:00,156285.2,168057.01207240287,-11771.812072402856,-11498.37118942428,-273.44088297857706,20220925,69,0,157444.75,158759.47,157886.89
358,2022-09-25 05:54:00,164710.92333333328,173801.19563210377,-9090.272298770493,-9412.439707074753,322.1674083042599,20220925,70,0,163230.52,164571.02,164657.98
359,2022-09-25 05:59:00,168980.14666666667,179634.43158355847,-10654.284916891804,-5404.154213500644,-5250.13070339116,20220925,71,0,169584.97,168643.11,170000.28
360,2022-09-25 06:04:00,190341.1333333333,185543.2302601709,4797.903073162393,-985.9759766136314,5783.879049776025,20220925,72,0,186613.03,186325.61,186640.7
