Unnamed: 0,ds,y,yhat,y_res,y_res_smooth,y_res_stat,day,unit,level_1,y_first,y_last,y_mean
349,2022-10-17 05:09:00,147318.12666666668,122646.43609731516,24671.690569351515,25524.606584620728,-852.916015269213,20221017,61,0,144445.6,142318.75,144124.62
350,2022-10-17 05:14:00,151174.21000000002,127607.82135023996,23566.388649760047,23376.62440122405,189.76424853599747,20221017,62,0,146789.38,144579.0,147179.7
351,2022-10-17 05:19:00,153782.21333333332,132810.4625853573,20971.75074797601,21038.55718637176,-66.80643839574986,20221017,63,0,149726.25,148255.78,150578.08
352,2022-10-17 05:24:00,157658.68666666668,138240.84207223656,19417.84459443012,19393.70480928269,24.139785147428483,20221017,64,0,155001.44,154439.34,154877.67
353,2022-10-17 05:29:00,160464.88666666666,143884.95034677512,16579.936319891538,18847.32314198913,-2267.386822097593,20221017,65,0,159293.84,160483.16,160704.83
354,2022-10-17 05:34:00,171180.47000000003,149728.3452115586,21452.124788441437,19009.63286965177,2442.4919187896594,20221017,66,0,168140.38,166694.62,166909.62
355,2022-10-17 05:39:00,174267.82666666663,155756.21328840894,18511.61337825769,19127.162806197142,-615.5494279394479,20221017,67,0,173641.33,172211.1,172571.47
356,2022-10-17 05:44:00,181748.8433333333,161953.43357778533,19795.409755547968,18936.066874831,859.3428807169657,20221017,68,0,180191.3,172732.03,178117.11
357,2022-10-17 05:49:00,187697.05000000005,168304.6427518869,19392.40724811316,19103.2545369522,289.15271116095755,20221017,69,0,184756.92,181779.88,184309.67
358,2022-10-17 05:54:00,195117.92333333328,174794.30170707512,20323.62162625816,20743.39164573838,-419.77001948022007,20221017,70,0,192590.52,189802.3,191624.23
359,2022-10-17 05:59:00,201213.1833333333,181406.76297201277,19806.420361320543,24280.8870498082,-4474.466688487653,20221017,71,0,196384.27,198591.16,199705.73
360,2022-10-17 06:04:00,221198.29333333336,188126.338571839,33071.95476149436,28733.45158432173,4338.503177172624,20221017,72,0,210941.86,214816.52,213422.23
361,2022-10-17 06:09:00,228060.5633333333,194937.36782888547,33123.19550444782,32475.5049346862,647.6905697616276,20221017,73,0,221085.8,221910.55,222865.58
362,2022-10-17 06:14:00,236925.09,201824.2848184573,35100.80518154273,34891.14831398603,209.6568675567032,20221017,74,0,231359.58,230880.28,231060.17
