Unnamed: 0,ds,y,yhat,y_res,y_res_smooth,y_res_stat,day,unit,level_1,y_first,y_last,y_mean
288,2022-08-23 00:04:00,383287.9375000001,389866.4655739592,-6578.528073959111,-12704.95297595804,6126.424901998929,20220823,0,0,385494.97,385494.97,385494.97
289,2022-08-23 00:09:00,370041.1066666666,379414.02026793454,-9372.913601267966,-10704.044088662702,1331.1304873947356,20220823,1,0,372852.0,377849.47,375350.75
290,2022-08-23 00:14:00,355310.59000000014,368995.2948784013,-13684.704878401186,-10741.157277808205,-2943.5476005929813,20220823,2,0,363149.25,366623.8,364919.84
291,2022-08-23 00:19:00,346846.5033333333,358625.80615359667,-11779.302820263372,-11701.753251132028,-77.54956913134447,20220823,3,0,349329.56,352692.62,352635.97
292,2022-08-23 00:24:00,336052.8766666666,348320.7323259359,-12267.85565926932,-12263.070990724877,-4.784668544443775,20220823,4,0,340032.44,343970.1,342236.94
293,2022-08-23 00:29:00,325352.38999999984,338094.88536677626,-12742.49536677642,-12092.276696933986,-650.2186698424339,20220823,5,0,332243.16,331463.75,331637.28
294,2022-08-23 00:34:00,317171.9499999999,327962.6856589869,-10790.735658987018,-11763.451096147342,972.7154371603248,20220823,6,0,327757.78,325855.2,326284.7
295,2022-08-23 00:39:00,306856.1666666667,317938.13906953123,-11081.972402864543,-11908.673860001629,826.7014571370855,20220823,7,0,318238.5,310893.94,314476.66
296,2022-08-23 00:44:00,295294.24666666664,308034.8165128948,-12740.569846228173,-12472.742256828356,-267.82758939981795,20220823,8,0,309511.06,302281.5,304652.4
297,2022-08-23 00:49:00,284855.8466666666,298265.83586002176,-13409.98919335514,-12696.590881775888,-713.3983115792525,20220823,9,0,298786.78,292421.8,294894.7
298,2022-08-23 00:54:00,277134.36666666664,288643.84627520776,-11509.479608541122,-11812.714928487838,303.2353199467161,20220823,10,0,288523.03,281692.3,285237.75
299,2022-08-23 00:59:00,267366.85666666663,279181.0148106643,-11814.158143997658,-9789.628714048897,-2024.5294299487612,20220823,11,0,278883.88,272480.47,274935.3
300,2022-08-23 01:04:00,264965.02666666656,269889.0154049456,-4923.988738279033,-7430.217772875331,2506.2290345962983,20220823,12,0,277593.28,270843.2,272581.56
