Unnamed: 0,ds,y,yhat,y_res,y_res_smooth,y_res_stat,day,unit,level_1,smooth_first,smooth_last,smooth_mean,y_first,y_mean,y_last,y_first2,y_mean2,y_last2
288,2022-09-03 00:04:00,399750.7500000001,380126.0325173709,19624.71748262917,9149.37194275147,10475.345539877704,20220903,0,0,7751.093,7751.093,7751.093,398352.4708306861,398352.4708306861,398352.4708306861,387877.1252908084,387877.1252908084,387877.1252908084
289,2022-09-03 00:09:00,385746.35,370624.3705669328,15121.9794330672,12787.009519843112,2334.9699132240894,20220903,1,0,5613.7363,11488.744,8551.24,378573.0768082819,381510.5807145319,384448.0846207819,376238.1068950578,379175.6108013078,382113.1147075578
290,2022-09-03 00:14:00,369966.66,361177.7137731933,8788.94622680673,10480.897427399626,-1691.9512005928973,20220903,2,0,5186.9434,9217.488,8013.8413,364672.7059319754,367499.60388119414,368703.2508538504,366364.6571325683,369191.55508178705,370395.2020544433
291,2022-09-03 00:19:00,353719.9833333333,351797.79942708794,1922.1839062453364,4489.938403103575,-2567.754496858239,20220903,3,0,4100.625,3672.1328,5901.838,353330.6699302297,355131.8828208547,352902.1777427297,355898.42442708794,357699.63731771294,355469.93223958794
292,2022-09-03 00:24:00,340102.5866666666,342495.9693746302,-2393.382707963581,-1401.1974293961534,-992.1852785674278,20220903,4,0,2974.8245,-417.00674,3410.53,344478.6085589534,344914.31412535964,341086.777351678,345470.7938375208,345906.49940392707,342078.9626302454
293,2022-09-03 00:29:00,328946.5666666667,333283.16472577566,-4336.5980591089465,-4986.2667597421805,649.668700633234,20220903,5,0,-1041.8512,-3867.5752,751.2043,332890.9822301198,334684.03771107685,330065.2582310964,332241.3135294866,334034.3690104436,329415.58953046316
294,2022-09-03 00:34:00,318219.0366666668,324169.9230086511,-5950.886341984326,-6416.908868841654,466.02252685732856,20220903,6,0,-1158.5867,-6791.212,-1447.4719,323477.3588655866,323188.4736116803,317844.73362144595,323011.33633872925,322722.451084823,317378.7110945886
295,2022-09-03 00:39:00,308525.40666666685,315166.3777270309,-6640.9710603641,-7009.237395399349,368.2663350352496,20220903,7,0,-2894.35,-6913.476,-3043.186,312640.2939644099,312491.4580269099,308621.1679878474,312272.02762937464,312123.19169187464,308252.90165281214
296,2022-09-03 00:44:00,299262.81999999995,306282.2600511728,-7019.44005117286,-7713.626126172327,694.1860749994676,20220903,8,0,-3360.4507,-7272.9453,-3968.9766,303615.9954425785,303007.46956367226,299703.50081367226,302921.80936757906,302313.2834886728,299009.3147386728
297,2022-09-03 00:49:00,289744.4299999998,297526.9025735663,-7782.472573566483,-8355.10050032328,572.627926756797,20220903,9,0,-3833.7668,-7566.655,-4690.481,294265.76365462,293409.04954329185,290532.87571516685,293693.1357278632,292836.42161653505,289960.24778841005
298,2022-09-03 00:54:00,279737.2433333333,288909.2448798562,-9172.001546522892,-7981.874413065421,-1190.1271334574722,20220903,10,0,-4280.1074,-7891.205,-4724.8184,283439.0103245237,282994.2993870237,279827.9126682737,284629.1374579812,284184.4265204812,281018.0398017312
299,2022-09-03 00:59:00,271545.54000000004,280437.840816731,-8892.300816730945,-6007.108661248873,-2885.192155482072,20220903,11,0,-3649.6577,-5261.899,-4092.8528,273902.99094640516,273459.7958780458,272290.74973546766,276788.18310188723,276344.98803352786,275175.94189094973
300,2022-09-03 01:04:00,272124.5566666668,272120.86720201897,3.689464647846762,-3071.141278025393,3074.83074267324,20220903,12,0,551.45306,-2695.0176,-2917.5781,275747.15100865706,272278.1198196922,272500.6803665672,272672.3202659838,269203.28907701897,269425.84962389397
301,2022-09-03 01:09:00,263888.79333333333,263966.13382806163,-77.34049472829793,-608.2462718910872,530.9057771627893,20220903,13,0,3149.88,-1341.8685,-2674.5671,267646.91948803695,261822.47246655254,263155.171074951,267116.01371087413,261291.56668938976,262624.2652977882
302,2022-09-03 01:14:00,255788.9566666667,255981.094499488,-192.1378328212886,428.7863319624259,-620.9241647837146,20220903,14,0,1740.201,-895.44946,-2761.4075,257100.371384509,252598.76286400118,254464.72087181368,257721.2955492927,253219.6870287849,255085.6450365974
303,2022-09-03 01:19:00,248260.6733333333,248172.85895229384,87.81438103946857,262.0557100380968,-174.2413289986282,20220903,15,0,-577.2885,217.25931,-2930.5732,247421.32911011163,245068.04438110773,248215.87693115656,247595.57043911025,245242.28571010634,248390.11826015517
304,2022-09-03 01:24:00,240827.79333333336,240548.20542818232,279.5879051510419,-63.33756482587752,342.92546997691943,20220903,16,0,-2761.54,119.41301,-2757.6692,238129.59085909673,238133.4617087061,241010.54390780278,237786.66538911982,237790.5362387292,240667.61843782588
305,2022-09-03 01:29:00,233742.32666666663,233113.59367396924,628.7329926973907,576.0229454646353,52.71004723275541,20220903,17,0,-3069.4368,1254.3378,-1882.9103,230096.86695362386,231283.39344288167,234420.64148975667,230044.15690639112,231230.68339564893,234367.93144252393
306,2022-09-03 01:34:00,227084.47666666663,225875.1782448712,1209.2984217954215,2733.5750479655053,-1524.2766261700835,20220903,18,0,-2332.4634,1894.0685,-759.65607,222018.43823979486,223591.24555180658,226244.97010014643,223542.71486596495,225115.52217797667,227769.24672631652
307,2022-09-03 01:39:00,224656.8333333333,218838.8218198788,5818.011513454519,6022.607680263809,-204.5961668092896,20220903,19,0,45.123867,3954.8655,873.7539,218679.3495201044,219507.9795593195,222589.09113158513,218883.9456869137,219712.5757261288,222793.68729839442
308,2022-09-03 01:44:00,223735.7133333333,212010.10836555512,11725.60496777817,9383.802258283553,2341.802709494619,20220903,20,0,691.73413,6693.9536,2276.904,215043.64520590912,216628.81512778412,221045.864688331,212701.8424964145,214287.0124182895,218704.06197883637
309,2022-09-03 01:49:00,217433.2666666667,205394.3560732205,12038.91059344617,11973.680177932314,65.2304155138554,20220903,21,0,1743.1788,8999.244,4415.5684,207202.76532174216,209875.15484810935,214458.83062935935,207137.5349062283,209809.9244325955,214393.6002138455
310,2022-09-03 01:54:00,211607.9566666667,198996.62972036944,12611.326946297251,13753.826747913748,-1142.4998016164936,20220903,22,0,1878.2902,11497.65,7015.398,199732.42007988575,204869.5278679717,209351.78030937794,200874.91988150225,206012.0276695882,210494.28011099444
311,2022-09-03 01:59:00,205803.6733333333,192821.75243990388,12981.92089342943,15091.675692853009,-2109.7547994235774,20220903,23,0,3916.5815,11782.267,9492.739,194628.57918344907,200204.73689829282,202494.26424204282,196738.33398287263,202314.49169771638,204604.01904146638
312,2022-09-03 02:04:00,206059.2666666666,186874.3166651434,19184.95000152322,16103.315739115144,3081.6342624080758,20220903,24,0,6499.044,12287.767,11771.741,196454.99487286396,201727.69213848896,202243.71752911396,193373.3606104559,198646.0578760809,199162.0832667059
313,2022-09-03 02:09:00,198310.1666666668,181158.69420170612,17151.47246496065,16766.55338762469,384.9190773359624,20220903,25,0,10127.698,13870.495,13813.452,191671.3115212296,195357.0654274796,195414.1083962296,191286.39244389362,194972.14635014362,195029.18931889362
314,2022-09-03 02:14:00,191231.3366666668,175679.04519950756,15552.29146715923,17401.170441667182,-1848.878974507952,20220903,26,0,13237.455,13811.885,15362.433,187067.62130312462,189192.59884218712,187642.05099062462,188916.50027763256,191041.47781669506,189490.92996513256
315,2022-09-03 02:19:00,188724.43,170439.32600833094,18285.10399166905,18494.834241129414,-209.7302494603682,20220903,27,0,12403.727,13775.822,15751.546,182633.32232137056,185981.14165730806,184005.41802449556,182843.05257083094,186190.87190676844,184215.14827395594
316,2022-09-03 02:24:00,186174.8,165443.295794778,20731.50420522198,20093.131086017256,638.3731192047235,20220903,28,0,13920.531,16862.18,16744.768,180002.20016398272,182826.43649210772,182943.84860148272,179363.827044778,182188.063372903,182305.475482278
317,2022-09-03 02:29:00,182603.28000000003,160694.52181463817,21908.75818536186,21705.765008295835,202.993177066026,20220903,29,0,13946.921,17937.117,17420.377,174844.4358901417,178317.8919448292,178834.6321792042,174641.44271307567,178114.89876776317,178631.63900213817
