Unnamed: 0,ds,y,yhat,y_res,y_res_smooth,y_res_stat,day,unit,level_1,y_first,y_last,y_mean
288,2022-09-22 00:04:00,351412.2458333332,309701.3058576283,41710.93997570488,38143.45235525168,3567.487620453197,20220922,0,0,344345.25,344345.25,344345.25
289,2022-09-22 00:09:00,353435.0033333333,300526.9861561321,52908.017177201225,41705.120199683806,11202.89697751742,20220922,1,0,336173.22,331547.72,333860.47
290,2022-09-22 00:14:00,322612.7433333334,291386.1991332552,31226.544200078177,40960.47172819831,-9733.927528120134,20220922,2,0,325095.3,326451.97,324909.78
291,2022-09-22 00:19:00,325850.0,282288.9997098972,43561.00029010279,37496.83740400275,6064.162886100043,20220922,3,0,306980.22,311499.7,311407.25
292,2022-09-22 00:24:00,298835.26000000007,273245.2685982517,25589.991401748382,34610.7124686645,-9020.721066916114,20220922,4,0,297806.53,302707.4,300409.66
293,2022-09-22 00:29:00,304521.8300000001,264264.721808315,40257.10819168505,34160.095271329934,6097.012920355119,20220922,5,0,290621.4,290505.72,290363.75
294,2022-09-22 00:34:00,286440.6799999999,255356.92070993123,31083.759290068643,35532.30984808693,-4448.550558018287,20220922,6,0,274692.75,283378.0,279370.53
295,2022-09-22 00:39:00,291057.7233333333,246531.2823751896,44526.44095814371,36995.449398403856,7530.99155973985,20220922,7,0,266727.34,272846.0,270067.88
296,2022-09-22 00:44:00,269022.92333333346,237797.08991467077,31225.83341866272,37591.58142168015,-6365.7480030174265,20220922,8,0,261858.19,265639.47,261851.39
297,2022-09-22 00:49:00,271664.5666666667,229163.5026468555,42501.06401981122,37773.58686635176,4727.477153459469,20220922,9,0,251255.61,256181.66,252994.55
298,2022-09-22 00:54:00,254966.82333333333,220639.5657465963,34327.25758673705,38556.7365688822,-4229.478982145156,20220922,10,0,242656.34,249105.03,244087.9
299,2022-09-22 00:59:00,252928.25666666665,212234.2191624765,40694.03750419011,40262.01091858232,432.0265856077895,20220922,11,0,236280.8,240490.6,236106.39
300,2022-09-22 01:04:00,246544.19666666668,203956.30570839785,42587.89095826887,42017.9130592894,569.977898979465,20220922,12,0,228352.16,235852.17,230342.39
301,2022-09-22 01:09:00,240895.7166666667,195814.5779077761,45081.13875889056,42440.04347387463,2641.09528501593,20220922,13,0,227339.8,228527.67,222708.14
302,2022-09-22 01:14:00,224525.5433333334,187817.70353556005,36707.83979777334,40772.56428715325,-4064.724489379907,20220922,14,0,214817.06,220103.98,214975.08
303,2022-09-22 01:19:00,222075.9033333333,179974.2696845612,42101.63364877211,37393.87078251648,4707.762866255631,20220922,15,0,210396.84,212661.23,208043.83
304,2022-09-22 01:24:00,201689.43999999992,172292.78511025332,29396.6548897466,33472.86458992772,-4076.20970018112,20220922,16,0,199855.58,206699.31,202075.39
305,2022-09-22 01:29:00,196500.42333333325,164781.68079167287,31718.74254166038,30262.667876702675,1456.074664957705,20220922,17,0,192980.16,202929.1,197360.12
306,2022-09-22 01:34:00,185717.5233333333,157449.3085658365,28268.2147674968,28507.102180223177,-238.88741272637708,20220922,18,0,190225.73,200405.16,194412.92
307,2022-09-22 01:39:00,178582.02666666667,150303.9377216595,28278.088945007185,28301.639758292727,-23.55081328554297,20220922,19,0,188663.25,195331.67,191243.69
308,2022-09-22 01:44:00,172963.8733333333,143353.749537178,29610.123796155294,29373.918274467327,236.2055216879708,20220922,20,0,183969.14,190938.58,187882.92
309,2022-09-22 01:49:00,168406.87666666665,136606.82965055024,31800.04701611641,31409.88475844076,390.1622576756527,20220922,21,0,182912.9,187220.84,183822.0
310,2022-09-22 01:54:00,163850.87333333338,130071.15830458488,33779.7150287485,34153.41100232796,-373.69597357945895,20220922,22,0,178154.02,181785.11,180042.48
311,2022-09-22 01:59:00,159404.4733333334,123754.59840787268,35649.874925460696,37269.45424866957,-1619.5793232088763,20220922,23,0,175600.5,176677.75,175935.83
312,2022-09-22 02:04:00,160560.87666666665,117664.881493032,42895.99517363464,40271.371823104026,2624.6233505306154,20220922,24,0,173364.05,173438.95,172547.52
313,2022-09-22 02:09:00,154125.09333333332,111809.59161040829,42315.50172292505,42790.792962373205,-475.2912394481537,20220922,25,0,169462.73,169092.03,168126.3
314,2022-09-22 02:14:00,149783.37999999995,106196.1472037808,43587.23279621915,44853.74072021146,-1266.5079239923143,20220922,26,0,163572.03,164323.83,163797.66
315,2022-09-22 02:19:00,147990.0666666667,100831.78115258607,47158.28551408064,46709.835446932746,448.45006714788906,20220922,27,0,160007.12,161462.33,159950.64
316,2022-09-22 02:24:00,144838.77333333337,95723.51901320276,49115.25432013063,48510.7601478531,604.4941722775256,20220922,28,0,156026.27,157170.39,156834.53
317,2022-09-22 02:29:00,140958.1866666667,90878.15563563572,50080.03103103099,50292.04680561291,-212.01577458192327,20220922,29,0,153465.22,153552.34,153739.8
318,2022-09-22 02:34:00,137482.20999999996,86302.23041112587,51179.97958887409,52079.297578654405,-899.3179897803129,20220922,30,0,152901.31,150787.03,151424.64
319,2022-09-22 02:39:00,136856.15000000002,82002.00118568755,54854.14881431247,53878.02546406188,976.1233502505928,20220922,31,0,149226.39,149823.89,148682.4
320,2022-09-22 02:44:00,133863.41999999998,77983.41715504491,55880.002844955074,55708.31158691059,171.69125804448413,20220922,32,0,147448.08,145751.69,146071.55
321,2022-09-22 02:49:00,131678.31,74252.0909581153,57426.2190418847,57702.24814189363,-276.02910000892734,20220922,33,0,143114.81,144541.33,143547.1
322,2022-09-22 02:54:00,130494.95,70813.27014456748,59681.67985543252,59979.66635517213,-297.9864997396071,20220922,34,0,141215.78,142685.1,141196.06
323,2022-09-22 02:59:00,128641.15333333332,67671.80831833847,60969.34501499485,62332.138416549205,-1362.7934015543578,20220922,35,0,139763.05,139677.25,138941.98
324,2022-09-22 03:04:00,131707.0933333333,64832.13620383182,66874.95712950148,64201.839842618814,2673.1172868826616,20220922,36,0,138079.69,136720.44,136864.14
325,2022-09-22 03:09:00,126638.36000000002,62298.23286717176,64340.12713282826,65153.38790166516,-813.2607688369026,20220922,37,0,133337.53,134722.72,134260.36
326,2022-09-22 03:14:00,124873.45000000004,60073.59742998751,64799.85257001253,65289.47933269752,-489.6267626849876,20220922,38,0,130784.03,133389.75,131989.19
327,2022-09-22 03:19:00,123262.55000000005,58161.221474251885,65101.32852574816,65079.81171954302,21.516806205145254,20220922,39,0,127945.28,129980.56,129631.77
328,2022-09-22 03:24:00,121540.91666666664,56563.56247661187,64977.35419005477,64885.04925957366,92.30493048111384,20220922,40,0,127063.47,127993.03,127686.66
