Unnamed: 0,ds,y,yhat,y_res,y_res_smooth,y_res_stat,day,unit,level_1,y_first,y_last,y_mean
288,2022-10-12 00:04:00,385039.3416666669,394726.0266133905,-9686.684946723572,-13556.786448018742,3870.101501295168,20221012,0,0,380989.12,380989.12,380989.12
289,2022-10-12 00:09:00,372223.51,385903.94370517647,-13680.43370517646,-13735.688086492397,55.25438131593546,20221012,1,0,372593.38,367798.94,370196.16
290,2022-10-12 00:14:00,359647.0600000001,377091.43191343424,-17444.371913434123,-15746.455615230503,-1697.9162982036178,20221012,2,0,359706.25,356919.97,357855.47
291,2022-10-12 00:19:00,347663.1666666667,368296.5674780261,-20633.400811359403,-19274.04840183127,-1359.3524095281318,20221012,3,0,345997.75,344323.34,345754.03
292,2022-10-12 00:24:00,339416.2033333335,359527.3881082724,-20111.184774938916,-23490.951692446968,3379.7669175080555,20221012,4,0,334601.0,335201.8,333836.1
293,2022-10-12 00:29:00,326887.06333333324,350791.91268984484,-23904.849356511608,-27067.720885210947,3162.8715286993397,20221012,5,0,323132.03,326118.34,322913.28
294,2022-10-12 00:34:00,303072.2133333333,342098.1607320408,-39025.947398707445,-28582.646821562623,-10443.300577144822,20221012,6,0,314886.9,315320.94,313184.72
295,2022-10-12 00:39:00,309793.94666666666,333454.1712340039,-23660.224567337253,-27897.854722848948,4237.630155511695,20221012,7,0,305311.56,301456.75,303351.56
296,2022-10-12 00:44:00,301124.9900000001,324868.0206238392,-23743.03062383912,-26638.03960231891,2895.008978479789,20221012,8,0,294194.88,293072.7,293522.78
297,2022-10-12 00:49:00,290865.68999999994,316347.8395661691,-25482.14956616913,-26423.735092410985,941.5855262418554,20221012,9,0,286301.62,285033.84,284010.28
298,2022-10-12 00:54:00,280077.2366666667,307901.82825663185,-27824.59158996516,-27058.99492817478,-765.5966617903796,20221012,10,0,278716.0,273805.75,274771.5
299,2022-10-12 00:59:00,266567.7766666668,299538.26994795323,-32970.49328128644,-27151.6315091693,-5818.861772117143,20221012,11,0,272161.5,267108.6,266471.03
300,2022-10-12 01:04:00,270000.6433333334,291265.5425980664,-21264.89926473296,-26053.09908424693,4788.199819513971,20221012,12,0,265901.3,260274.12,260722.25
301,2022-10-12 01:09:00,259361.38666666663,283092.1281862592,-23730.74151959256,-24411.201606963627,680.4600873710697,20221012,13,0,253037.61,253118.94,251976.44
302,2022-10-12 01:14:00,250536.41999999995,275026.61966748943,-24490.19966748948,-23062.09657203402,-1428.103095455455,20221012,14,0,244156.73,244175.84,243803.36
303,2022-10-12 01:19:00,245203.20333333343,267077.7252801993,-21874.52194686589,-22172.88096743168,298.3590205657856,20221012,15,0,236268.77,236259.47,235922.88
304,2022-10-12 01:24:00,237393.7800000001,259254.2701394328,-21860.490139432688,-21485.93593896081,-374.55420047187727,20221012,16,0,230807.8,228691.05,228778.62
305,2022-10-12 01:29:00,230932.89,251565.1948789525,-20632.304878952447,-20821.510040518504,189.20516156605663,20221012,17,0,222899.88,223171.52,221905.31
306,2022-10-12 01:34:00,223775.18,244019.551323148,-20244.37132314802,-20167.58877077044,-76.78255237758276,20221012,18,0,212520.44,218145.53,216004.36
307,2022-10-12 01:39:00,217693.22333333344,236626.49505695092,-18933.27172361751,-19473.99554479284,540.7238211753283,20221012,19,0,209091.3,212272.86,210848.27
308,2022-10-12 01:44:00,210890.09,229395.27490822345,-18505.184908223426,-18468.098575370605,-37.086332852821215,20221012,20,0,204755.3,209431.4,206547.33
309,2022-10-12 01:49:00,205611.2,222335.21926927517,-16724.01926927513,-16739.298446572677,15.279177297546994,20221012,21,0,198673.27,203853.03,201869.2
310,2022-10-12 01:54:00,200447.18,215455.7193310098,-15008.539331009815,-14160.96843094567,-847.5709000641455,20221012,22,0,193474.83,198789.17,197554.14
311,2022-10-12 01:59:00,195258.16333333324,208766.20921578244,-13508.045882449194,-11314.154487138729,-2193.8913953104675,20221012,23,0,188864.02,195629.36,193635.69
312,2022-10-12 02:04:00,198111.7266666668,202276.14314454744,-4164.416477880644,-9249.228943476608,5084.812465595964,20221012,24,0,185979.61,193595.0,191118.31
313,2022-10-12 02:09:00,186096.3266666666,195994.96972180824,-9898.643055141642,-8499.289584323125,-1399.353470818516,20221012,25,0,181410.17,187935.47,186536.62
314,2022-10-12 02:14:00,180052.57333333328,189932.10345584023,-9879.530122506983,-8460.99304785712,-1418.5370746498647,20221012,26,0,176764.66,184142.33,182288.2
315,2022-10-12 02:19:00,175687.2033333333,184096.8937484385,-8409.69041510523,-8028.538433761576,-381.1519813436535,20221012,27,0,174118.5,179487.22,178326.83
316,2022-10-12 02:24:00,172707.88333333333,178498.59146241494,-5790.708129081613,-6656.349875130536,865.6417460489229,20221012,28,0,168838.48,175262.69,174015.48
317,2022-10-12 02:29:00,168310.40666666668,173146.31331268005,-4835.906646013376,-4614.6961512795415,-221.2104947338348,20221012,29,0,167207.47,171053.53,170258.69
318,2022-10-12 02:34:00,165717.63000000003,168049.0044010023,-2331.3744010022783,-2489.883185784857,158.5087847825789,20221012,30,0,162199.94,168282.05,166718.23
319,2022-10-12 02:39:00,162621.28,163215.39902129138,-594.1190212913789,-661.6850865621268,67.56606527074791,20221012,31,0,160722.84,163889.33,163658.73
320,2022-10-12 02:44:00,159905.36000000004,158653.98013040048,1251.3798695995647,924.2190235837094,327.1608460158553,20221012,32,0,158626.69,161487.69,160616.48
