Unnamed: 0,ds,y,yhat,y_res,y_res_smooth,y_res_stat,day,unit,level_1,smooth_first,smooth_last,smooth_mean,y_first,y_mean,y_last,y_first2,y_mean2,y_last2
288,2022-09-09 00:04:00,385705.2375000002,344975.0349717943,40730.20252820593,31479.940767113807,9250.261761092126,20220909,0,0,27093.266,27093.266,27093.266,381318.5623578864,381318.5623578864,381318.5623578864,372068.3005967943,372068.3005967943,372068.3005967943
289,2022-09-09 00:09:00,375480.03333333327,335650.9427168404,39829.090616492846,36640.61947530361,3188.471141189235,20220909,1,0,25934.588,29772.633,27853.61,364774.00174865464,366693.02323302964,368612.04667052964,361585.5306074654,363504.5520918404,365423.5755293404
290,2022-09-09 00:14:00,361657.9866666666,326384.3803830128,35273.60628365382,35826.11328677589,-552.5070031220748,20220909,2,0,23297.027,30569.922,27112.578,349128.90072364075,352944.45150489075,356401.79525489075,349681.4077267628,353496.9585080128,356954.3022580128
291,2022-09-09 00:19:00,345087.1866666667,317186.1689946732,27901.01767199353,30818.22113598275,-2917.2034639892227,20220909,3,0,18015.139,26954.025,23475.607,332284.104202559,337744.572952559,341222.990921309,335201.3076665482,340661.7764165482,344140.1943852982
292,2022-09-09 00:24:00,331911.20000000007,308066.76282192057,23844.437178079505,25434.25076352878,-1589.8135854492757,20220909,4,0,15210.497,23550.586,20379.566,321687.44630678376,326856.51564272126,330027.53517397126,323277.25989223307,328446.32922817057,331617.34875942057
293,2022-09-09 00:29:00,321559.8833333335,299036.2527931777,22523.63054015581,22185.666845227934,337.963694927872,20220909,5,0,12974.785,21108.732,18170.26,312349.00164435554,317544.47625373054,320482.94890998054,312011.0379494277,317206.5125588027,320144.9852150527
294,2022-09-09 00:34:00,312623.54333333345,290104.37195367075,22519.1713796627,21109.33816239332,1409.8332172693845,20220909,6,0,11161.928,20019.115,16579.512,302676.13290531514,308093.71688969014,311533.32040531514,301266.29968804575,306683.88367242075,310123.48718804575
295,2022-09-09 00:39:00,302458.7900000001,281280.50273181207,21178.287268188025,20890.051592233587,288.2356759544382,20220909,7,0,11691.574,19638.234,15963.336,293260.3126265165,297532.0743452665,301206.9727827665,292972.07695056207,297243.83866931207,300918.73710681207
296,2022-09-09 00:44:00,292803.1733333334,272573.6858746995,20229.4874586339,20445.344713444945,-215.857254811046,20220909,8,0,10064.227,18660.715,15062.254,282422.05518238846,287420.08252613846,291018.54346363846,282637.9124371995,287635.9397809495,291234.4007184495
297,2022-09-09 00:49:00,283889.4466666668,263992.63071312173,19896.81595354504,19617.072875464208,279.74307808083176,20220909,9,0,9920.137,17855.14,14789.984,274192.51050995255,279062.35816620255,282127.51441620255,273912.76743187173,278782.61508812173,281847.77133812173
298,2022-09-09 00:54:00,274326.0433333334,255545.72662150097,18780.31671183242,18912.663942618856,-132.34723078643583,20220909,10,0,9881.09,17651.76,14801.044,265294.4692344645,270214.423336027,273065.1391563395,265426.816465251,270346.7705668135,273197.486387126
299,2022-09-09 00:59:00,264402.33333333343,247241.0553267005,17161.27800663293,18857.12993071982,-1695.8519240868918,20220909,11,0,9953.127,16522.873,15300.292,255498.3303557386,260845.4953948011,262068.0764494886,257194.1822798255,262541.347318888,263763.9283735755
300,2022-09-09 01:04:00,260581.70666666664,239086.40400547403,21495.302661192603,19518.688104282377,1976.6145569102264,20220909,12,0,14310.163,17595.682,16548.588,255373.18164832177,257611.60645300927,258658.70020300927,253396.56709141153,255634.99189609903,256682.08564609903
301,2022-09-09 01:09:00,250968.69000000003,231089.2787149661,19879.411285033973,20541.71932782336,-662.3080427893874,20220909,13,0,13240.007,17919.967,17215.992,243666.97750811419,247642.96285967669,248346.93746905169,244329.2855509036,248305.2709024661,249009.2455118411
302,2022-09-09 01:14:00,244391.9033333333,223256.91805649464,21134.985276838648,21518.53475459152,-383.5494777528729,20220909,14,0,15669.559,18512.113,17914.219,238542.92717249176,240787.58732874176,241385.48185999176,238926.47665024464,241171.13680649464,241769.03133774464
303,2022-09-09 01:19:00,238735.75,215596.30685673075,23139.44314326925,22279.505781071857,859.9373621973937,20220909,15,0,16536.332,20369.582,18678.46,232992.57625017816,235134.70515642816,236825.82625017816,232132.63888798075,234274.76779423075,235965.88888798075
304,2022-09-09 01:24:00,230859.78999999995,208114.18954945376,22745.60045054619,22988.40987923974,-242.80942869355204,20220909,16,0,16120.587,22554.883,19943.643,223991.9670348227,227815.0226988852,230426.2629332602,224234.77646351626,228057.83212757876,230669.07236195376
305,2022-09-09 01:29:00,225276.14666666664,200817.08313037557,24459.063536291094,24075.40272924761,383.6608070434886,20220909,17,0,17836.07,24579.094,22172.729,219036.81424991906,223373.47245304406,225779.83768741906,218653.15344287557,222989.81164600057,225396.17688037557
306,2022-09-09 01:34:00,218439.4933333334,193711.28942150917,24728.20391182427,25913.59387713474,-1185.3899653104709,20220909,18,0,20064.455,28618.516,25414.912,212590.3545343237,217940.8115655737,221144.4150811987,213775.74449963417,219126.20153088417,222329.80504650917
307,2022-09-09 01:39:00,214544.3366666666,186802.9065456749,27741.43012099172,28381.48212361288,-640.0520026211598,20220909,19,0,25960.775,30638.693,28970.393,212123.62993367872,215133.24712117872,216801.54790242872,212763.6819362999,215773.2991237999,217441.5999050499
308,2022-09-09 01:44:00,212713.2966666667,180097.83928292795,32615.457383738743,30834.00420587489,1781.453177863852,20220909,20,0,29645.58,32112.592,32184.357,211524.8725389168,214063.6498826668,213991.8842576668,209743.41936105295,212282.19670480295,212210.43107980295
309,2022-09-09 01:49:00,207010.1233333333,173601.8083596671,33408.31497366616,32693.85793664924,714.4570370169167,20220909,21,0,33686.152,33618.81,35394.38,208002.41774043403,209710.64430293403,207935.07399043403,207287.9607034171,208996.1872659171,207220.6169534171
310,2022-09-09 01:54:00,200184.46,167320.35831916676,32864.101680833235,33992.55295444196,-1128.4512736087272,20220909,22,0,36118.9,35785.31,38504.3,202310.80548305804,204696.20782680804,201977.21563930804,203439.25675666676,205824.65910041676,203105.66691291676
