Unnamed: 0,ds,y,yhat,y_res,y_res_smooth,y_res_stat,day,unit,level_1,smooth_first,smooth_last,smooth_mean,y_first,y_mean,y_last,y_first2,y_mean2,y_last2
288,2022-10-09 00:04:00,389472.1,372490.2883201942,16981.811679805804,9238.334132633128,7743.477547172675,20221009,0,0,7756.743,7756.743,7756.743,387990.50903142936,387990.50903142936,387990.50903142936,380247.0314842567,380247.0314842567,380247.0314842567
289,2022-10-09 00:09:00,372893.29000000015,363460.892599019,9432.397400981165,9279.475921623922,152.9214793572428,20221009,1,0,7284.724,8092.053,7688.3887,370898.53819947,371302.2027502512,371705.8673010325,370745.61672011274,371149.281270894,371552.94582167524
290,2022-10-09 00:14:00,358850.7833333333,354447.1252862874,4403.65804704593,6524.467020884668,-2120.808973838738,20221009,2,0,3309.6562,5859.938,4494.739,355635.97256244865,356821.0550819799,358186.2543007299,357756.7815362874,358941.86405581865,360307.06327456865
291,2022-10-09 00:19:00,347454.4099999999,345457.4374760038,1996.9725239961408,2507.204427313349,-510.231903317208,20221009,3,0,-1619.5372,-731.3196,-1030.7493,343327.66834124125,343916.45630510844,344215.88599260844,343837.90024455846,344426.68820842565,344726.11789592565
292,2022-10-09 00:24:00,335589.83,336500.2111605949,-910.3811605948722,-917.9298674704144,7.548706875542166,20221009,4,0,-6012.9497,-4351.57,-5963.009,330494.81016043917,330544.7510784079,332156.19004325167,330487.26145356364,330537.2023715324,332148.64133637614
293,2022-10-09 00:29:00,324132.1599999998,327583.77788957336,-3451.6178895735648,-2985.112498615871,-466.5053909576936,20221009,5,0,-9703.135,-6681.3267,-9341.839,317414.13773299067,317775.43363142817,320435.9458384594,317880.64312394836,318241.93902238586,320902.4512294171
294,2022-10-09 00:34:00,315140.57666666666,318716.4373156761,-3575.860649009468,-4111.072107504753,535.2114584952851,20221009,6,0,-11709.633,-7135.3306,-11021.198,307542.0159616714,308230.4505319839,312116.3182077652,307006.8045031761,307695.2390734886,311581.1067492699
295,2022-10-09 00:39:00,305528.4166666666,309906.47526289313,-4378.058596226503,-5133.324076433039,755.2654802065354,20221009,7,0,-13070.72,-7753.5903,-12089.74,297591.02101653715,298572.00050872465,302908.1504110684,296835.75553633063,297816.73502851813,302152.8849308619
296,2022-10-09 00:44:00,294544.9166666666,301162.1810912464,-6617.2644245798,-6475.014032047284,-142.25039253251634,20221009,8,0,-15098.3,-8850.872,-13241.324,285921.6308940264,287778.6064799639,292169.0586284014,286063.8812865589,287920.8568724964,292311.3090209339
297,2022-10-09 00:49:00,284861.59999999986,292491.86396794394,-7630.263967944076,-7825.018497712343,194.7545297682664,20221009,9,0,-15870.337,-10306.235,-14161.911,276816.2815836497,278524.7073648997,282380.3831461497,276621.52705388144,278329.95283513144,282185.62861638144
298,2022-10-09 00:54:00,274867.3866666667,283903.8678400316,-9036.481173364851,-8516.442988410816,-520.0381849540372,20221009,10,0,-16478.266,-10992.623,-14677.572,266905.5640300776,268706.2573894526,272391.2066082026,267425.6022150316,269226.2955744066,272911.2447931566
299,2022-10-09 00:59:00,265204.5833333333,275406.5847504269,-10202.00141709356,-8241.002614789055,-1960.9988023045064,20221009,11,0,-16870.463,-11608.554,-15512.413,256575.12305749737,257933.17286218487,261837.03223718487,258536.12185980187,259894.17166448937,263798.0310394894
300,2022-10-09 01:04:00,262450.3,267008.46641601576,-4558.166416015767,-7396.741522978623,2838.575106962856,20221009,12,0,-17141.57,-10410.75,-15760.968,252705.4712104786,254086.0737495411,259436.2915229786,249866.89610351576,251247.49864257826,256597.71641601576
301,2022-10-09 01:09:00,251670.36000000004,258718.03361704288,-7047.673617042834,-6682.939438150026,-364.7341788928079,20221009,13,0,-16011.386,-9904.573,-15709.106,242341.91369596258,242644.19299283758,248448.72619596258,242706.64787485538,243008.92717173038,248813.46037485538
302,2022-10-09 01:14:00,243043.2233333333,250543.88332723372,-7500.659993900452,-6448.491581563662,-1052.1684123367895,20221009,14,0,-17812.781,-9122.952,-15448.849,231678.93366489693,234042.86628208443,240368.76276645943,232731.10207723372,235095.03469442122,241420.93117879622
303,2022-10-09 01:19:00,236196.93666666668,242494.6934052597,-6297.756738593016,-6516.809903634177,219.0531650411613,20221009,15,0,-17887.838,-8763.234,-15107.571,224825.90867967586,227606.17528123836,233950.51219530086,224606.8555146347,227387.1221161972,233731.4590302597
304,2022-10-09 01:24:00,229511.79666666663,234579.22459442343,-5067.427927756798,-6375.070517850149,1307.642590093351,20221009,16,0,-19142.441,-8401.151,-14484.899,216744.42577826677,221401.96777045427,227485.71581732927,215436.78318817343,220094.32518036093,226178.07322723593
305,2022-10-09 01:29:00,221252.61666666664,226806.31977428368,-5553.703107617039,-5344.133517486032,-209.5695901310064,20221009,17,0,-18683.88,-6937.888,-13209.645,207912.86932477768,213387.10565290268,219658.86200055893,208122.43891490868,213596.67524303368,219868.43159068993
306,2022-10-09 01:34:00,213842.38333333336,219184.9003295963,-5342.516996262944,-2941.2271867772797,-2401.289809485665,20221009,18,0,-17643.277,-4218.989,-10851.657,199140.33317636064,205931.95329354814,212564.6217505794,201541.6229858463,208333.2431030338,214965.91156006505
307,2022-10-09 01:39:00,212575.52333333337,211723.95953903935,851.5637942939939,553.3747909014091,298.1890033925847,20221009,19,0,-12716.241,-920.76825,-7128.588,199305.90733149444,204893.56065180694,211101.38029292022,199007.71832810185,204595.37164841435,210803.19128952763
308,2022-10-09 01:44:00,210847.66666666663,204432.5529876769,6415.113678989728,4131.959891823503,2283.153787166225,20221009,20,0,-9639.589,2465.3423,-2906.7734,197076.11790765563,203808.93333734313,209181.04905999938,194792.9641204894,201525.7795501769,206897.89527283315
309,2022-10-09 01:49:00,204791.6,197319.78592289123,7471.814077108778,7000.977264381925,470.8368127268532,20221009,21,0,-5629.22,5480.9185,1351.4967,192161.40252077434,199142.11943971965,203271.54119264934,191690.56570804748,198671.2826269928,202800.70437992248
310,2022-10-09 01:54:00,198531.3200000001,190394.7976254092,8136.522374590917,9304.143249569594,-1167.6208749786765,20221009,22,0,1622.7412,7978.4155,5062.8467,190849.91796136802,194290.02343011802,197205.59227777427,192017.5388363467,195457.6443050967,198373.21315275296
311,2022-10-09 01:59:00,192484.84,183666.7427761285,8818.097223871504,11632.16307028265,-2814.0658464111457,20221009,23,0,4631.214,9956.577,7990.7266,185483.89079690486,188843.40349221736,190809.25407815486,188297.956643316,191657.4693386285,193623.319924566
312,2022-10-09 02:04:00,194567.49,177144.7699447048,17422.720055295184,14088.473805068868,3334.246250226315,20221009,24,0,8989.954,13112.348,10710.829,189468.97029649362,191189.84529649362,193591.36385118112,186134.7240462673,187855.5990462673,190257.1176009548
313,2022-10-09 02:09:00,186970.0633333333,170837.99728550328,16132.066047830012,16267.340634612065,-135.2745867820522,20221009,25,0,11523.767,16701.43,13074.864,182226.48930028372,183777.58695653372,187404.15238622122,182361.76388706578,183912.86154331578,187539.42697300328
314,2022-10-09 02:14:00,182159.98000000007,164755.4855407744,17404.49445922568,17974.755695357406,-570.261236131726,20221009,26,0,13188.511,18292.893,14929.112,177373.73504683017,179114.33660933017,182478.11688276767,177943.9962829619,179684.5978454619,183048.3781188994
315,2022-10-09 02:19:00,178114.7933333333,158906.20859380683,19208.584739526472,19497.50576163356,-288.9210221070898,20221009,27,0,14647.285,20173.01,16697.967,173264.57272794974,175315.25436857474,178790.29733732474,173553.49375005683,175604.17539068183,179079.21835943183
316,2022-10-09 02:24:00,174458.7833333333,153299.02166378548,21159.76166954782,21170.0759611801,-10.314291632279492,20221009,28,0,15765.014,20902.863,18444.373,169053.7210440282,171733.0804190282,174191.5706534032,169064.03533566048,171743.39471066048,174201.88494503548
