Unnamed: 0,ds,y,yhat,y_res,y_res_smooth,y_res_stat,day,unit,level_1,smooth_first,smooth_last,smooth_mean,y_first,y_mean,y_last,y_first2,y_mean2,y_last2
288,2022-10-01 00:04:00,433972.39583333326,456376.4996726303,-22404.103839297022,-26778.13261874712,4374.028779450095,20221001,0,0,-22863.295,-22863.295,-22863.295,437887.2335302054,437887.2335302054,437887.2335302054,433513.2047507553,433513.2047507553,433513.2047507553
289,2022-10-01 00:09:00,419988.21333333326,447526.2565871461,-27538.043253812823,-25886.231558099666,-1651.8116957131606,20221001,1,0,-21723.307,-23772.883,-22748.094,424151.13825080794,423126.35114143294,422101.56207893294,425802.9499465211,424778.1628371461,423753.3737746461
290,2022-10-01 00:14:00,411880.2699999999,438697.9022317417,-26817.632231741794,-26532.97459621597,-284.6576355258257,20221001,2,0,-22455.525,-26283.94,-24472.693,415957.7192055909,413940.5512368409,412129.3051430909,416242.3768411167,414225.2088723667,412413.9627786167
291,2022-10-01 00:19:00,402590.9933333333,429900.3366349113,-27309.34330157796,-28642.38694962286,1333.0436480449025,20221001,3,0,-25458.684,-27316.986,-26644.89,405774.69668920623,404588.48965795623,403916.39395483123,404441.6530411613,403255.4460099113,402583.3503067863
292,2022-10-01 00:24:00,388745.91,421142.3550744733,-32396.445074473333,-31539.951323897418,-856.4937505759153,20221001,4,0,-26841.602,-29512.03,-28492.719,393444.2597613974,391793.1425738974,390773.8320270224,394300.7535119733,392649.6363244733,391630.3257775983
293,2022-10-01 00:29:00,376987.27666666656,412432.6643676708,-35445.38770100428,-34479.614571595084,-965.7731294091936,20221001,5,0,-27798.54,-31313.602,-30278.443,383668.3521757616,381188.4478788866,380153.2896757616,384634.1253051708,382154.2210082958,381119.0628051708
294,2022-10-01 00:34:00,367055.27666666673,403779.8991370112,-36724.62247034442,-37119.19026855941,394.5677982149937,20221001,6,0,-27539.428,-34263.324,-31328.053,376635.0392008512,372846.4142008512,369911.1427164762,376240.4714026362,372451.8464026362,369516.5749182612
295,2022-10-01 00:39:00,356404.79000000004,395192.6378355942,-38787.84783559415,-39557.09765573468,769.2498201405324,20221001,7,0,-28238.004,-36701.363,-32435.178,367723.8837494847,363526.7099213597,359260.5243744847,366954.6339293442,362757.4601012192,358491.2745543442
296,2022-10-01 00:44:00,345126.42,386679.418224187,-41552.998224187,-41865.28726008547,312.28903589846595,20221001,8,0,-29531.02,-39370.477,-33619.87,357460.68772883544,353371.83616633544,347621.23069758544,357148.398692937,353059.547130437,347308.941661687
297,2022-10-01 00:49:00,333986.47666666657,378248.75197207386,-44262.2753054073,-43713.36701149149,-548.9082939158034,20221001,9,0,-29949.592,-40681.566,-34482.4,347750.25188128307,343217.44524065807,337018.27727190807,348299.16017519886,343766.35353457386,337567.18556582386
298,2022-10-01 00:54:00,325414.90333333344,369909.1382073622,-44494.23487402877,-44590.48836385795,96.25348982917784,20221001,10,0,-30837.566,-42407.21,-34808.473,339167.8252909414,335196.9190409414,327598.1807596914,339071.5718011122,335100.6655511122,327501.9272698622
