Unnamed: 0,ds,y,yhat,y_res,y_res_smooth,y_res_stat,day,unit,level_1,y_first,y_last,y_mean
288,2022-09-30 00:04:00,430758.6125000001,469752.075455567,-38993.46295556688,-43921.990228521085,4928.527272954205,20220930,0,0,426408.6,426408.6,426408.6
289,2022-09-30 00:09:00,418738.0066666666,461231.5717931607,-42493.5651264941,-42821.21761291324,327.65248641913786,20220930,1,0,415914.6,418994.34,417454.47
290,2022-09-30 00:14:00,407815.97,452733.4854603354,-44917.51546033542,-44515.66648439044,-401.84897594498034,20220930,2,0,405868.22,409806.88,408154.97
291,2022-09-30 00:19:00,395530.2666666665,444266.58620437945,-48736.31953771296,-48351.655166575714,-384.6643711372453,20220930,3,0,397162.97,403023.06,400195.62
292,2022-09-30 00:24:00,382342.4733333333,435839.5378017679,-53497.06446843455,-52706.04789091953,-791.0165775150163,20220930,4,0,387313.97,391893.97,390854.7
293,2022-09-30 00:29:00,370922.93666666665,427460.9146907702,-56537.97802410356,-56315.46835396552,-222.5096701380462,20220930,5,0,374959.5,376750.16,379301.84
294,2022-09-30 00:34:00,360593.5033333334,419139.2186293024,-58545.715295968985,-58876.0098678717,330.2945719027193,20220930,6,0,365130.2,364233.84,369366.47
295,2022-09-30 00:39:00,350761.7666666667,410882.89515967766,-60121.12849301094,-60738.79939211079,617.6708990998522,20220930,7,0,354194.94,351247.53,356887.22
296,2022-09-30 00:44:00,340698.5233333333,402700.3494813496,-62001.82614801632,-62230.13472371034,228.30857569402,20220930,8,0,345399.75,341909.6,346959.62
297,2022-09-30 00:49:00,330886.42666666664,394599.9615182855,-63713.53485161887,-63280.48646927342,-433.0483823454488,20220930,9,0,336324.5,329664.3,335959.44
298,2022-09-30 00:54:00,322823.6233333333,386590.0998836344,-63766.47655030113,-63641.77400816185,-124.70254213928274,20220930,10,0,327722.9,319462.94,325323.16
299,2022-09-30 00:59:00,314012.7933333333,378679.1344256778,-64666.34109234455,-63365.5973071015,-1300.7437852430448,20220930,11,0,318027.56,312790.53,315461.66
300,2022-09-30 01:04:00,309985.2266666667,370875.447259352,-60890.22059268528,-62955.16982146296,2064.949228777681,20220930,12,0,317554.0,311612.25,311183.8
301,2022-09-30 01:09:00,299780.3566666667,363187.4418217844,-63407.08515511768,-62978.26872772433,-428.8164273933435,20220930,13,0,306906.4,303186.62,300061.47
302,2022-09-30 01:14:00,291476.8466666666,355623.54997125483,-64146.70330458821,-63590.93231606198,-555.7709885262302,20220930,14,0,301802.3,296088.7,292639.75
303,2022-09-30 01:19:00,283929.2733333333,348192.2367800719,-64262.963446738606,-64470.30683509004,207.3433883514372,20220930,15,0,293625.7,289329.66,285905.25
304,2022-09-30 01:24:00,276803.6233333334,340902.0029500048,-64098.37961667136,-65056.160792459326,957.781175787968,20220930,16,0,280859.22,281205.5,279156.16
305,2022-09-30 01:29:00,267629.9833333333,333761.3846502416,-66131.4013169083,-64833.13468716948,-1298.2666297388278,20220930,17,0,268871.25,271550.84,270565.47
306,2022-09-30 01:34:00,262868.63666666666,326778.95074737805,-63910.3140807114,-63673.84259276984,-236.4714879415551,20220930,18,0,260541.03,261795.73,263367.34
307,2022-09-30 01:39:00,257148.6733333334,319963.2972550857,-62814.623921752325,-62065.69887238945,-748.9250493628788,20220930,19,0,254551.92,255049.78,255986.44
308,2022-09-30 01:44:00,255732.74666666667,313323.038968883,-57590.29230221632,-60752.99506145437,3162.7027592380546,20220930,20,0,247279.2,248658.06,249784.5
309,2022-09-30 01:49:00,246257.93,306866.798365092,-60608.86836509203,-59966.01715188455,-642.8512132074829,20220930,21,0,238584.9,242632.36,241659.67
310,2022-09-30 01:54:00,239183.61333333328,300603.1915946364,-61419.57826130313,-59244.648523032345,-2174.929738270788,20220930,22,0,232662.4,235528.6,233601.0
311,2022-09-30 01:59:00,235415.1833333333,294540.81174493383,-59125.62841160054,-58213.78370801399,-911.8447035865538,20220930,23,0,226450.78,230093.69,226351.42
312,2022-09-30 02:04:00,235027.2033333333,288688.2093527125,-53661.006019379245,-57183.98128255557,3522.9752631763185,20220930,24,0,226506.88,231588.03,225138.02
313,2022-09-30 02:09:00,225058.4699999999,283053.8703354467,-57995.400335446815,-56686.84083023096,-1308.5595052158533,20220930,25,0,214011.2,221907.84,214950.14
314,2022-09-30 02:14:00,220527.7466666668,277646.1913778146,-57118.44471114784,-56753.84000181888,-364.6047093289526,20220930,26,0,206970.0,216373.9,209478.73
315,2022-09-30 02:19:00,215454.5866666668,272473.4529775084,-57018.86631084158,-56981.6980937562,-37.16821708538191,20220930,27,0,200742.58,210811.61,205103.06
316,2022-09-30 02:24:00,210153.7866666667,267543.79031975404,-57390.00365308733,-57080.16643099866,-309.837222088674,20220930,28,0,195277.7,204647.55,200853.61
317,2022-09-30 02:29:00,206224.5433333333,262865.162132389,-56640.61879905572,-57099.36388344574,458.7450843900151,20220930,29,0,189046.72,197825.52,196383.42
318,2022-09-30 02:34:00,201639.28666666665,258445.3178565874,-56806.03118992076,-57211.54225227665,405.511062355894,20220930,30,0,188557.02,196128.55,195139.8
319,2022-09-30 02:39:00,196147.71666666665,254291.76321354197,-58144.046546875295,-57431.79751359996,-712.2490332753368,20220930,31,0,184992.75,192028.72,191844.02
320,2022-09-30 02:44:00,193194.13000000003,250411.72459880885,-57217.59459880879,-57564.55365993421,346.95906112541707,20220930,32,0,183970.23,188394.97,188896.52
321,2022-09-30 02:49:00,190030.74,246812.11245159543,-56781.37245159547,-57337.04265403728,555.6702024418119,20220930,33,0,178885.39,184961.02,184560.62
322,2022-09-30 02:54:00,186084.13333333333,243499.48398327717,-57415.35064994381,-56607.25205267435,-808.0985972694616,20220930,34,0,177085.88,183944.48,181857.52
323,2022-09-30 02:59:00,183219.6133333333,240480.0055161448,-57260.392182811454,-55608.22644125077,-1652.1657415606824,20220930,35,0,175968.94,179748.0,178046.58
324,2022-09-30 03:04:00,185972.3233333333,237759.41480715887,-51787.09147382557,-54954.7000536232,3167.608579797634,20220930,36,0,179572.6,180668.31,178524.11
325,2022-09-30 03:09:00,179230.19666666663,235342.98362124452,-56112.786954577925,-55161.37147719611,-951.4154773818154,20220930,37,0,171665.66,172951.83,170176.47
326,2022-09-30 03:14:00,176738.21,233235.4809156985,-56497.27091569855,-56160.6295026535,-336.6414130450503,20220930,38,0,169285.33,171184.86,167223.89
327,2022-09-30 03:19:00,173550.18666666668,231441.1369875059,-57890.95032083921,-57470.85636235292,-420.0939584862936,20220930,39,0,165692.9,168918.1,164645.34
328,2022-09-30 03:24:00,171611.54666666666,229963.6088639097,-58352.06219724304,-58757.315965933856,405.2537686908181,20220930,40,0,161479.62,166485.52,162501.7
329,2022-09-30 03:29:00,168312.9566666666,228805.9473032453,-60492.9906365787,-60099.94944553368,-393.0411910450202,20220930,41,0,158164.28,163417.16,160181.0
330,2022-09-30 03:34:00,166398.68666666662,227970.5656991335,-61571.87903246688,-61815.68863957012,243.80960710323416,20220930,42,0,158344.5,165571.84,163099.14
331,2022-09-30 03:39:00,163871.94666666668,227459.21123550655,-63587.26456883989,-64092.04445442742,504.77988558752986,20220930,43,0,156330.05,163030.39,163007.16
332,2022-09-30 03:44:00,160821.5899999999,227272.93852941252,-66451.34852941264,-66705.92398238507,254.57545297242177,20220930,44,0,157525.16,162196.69,163590.33
